##########normalizacion_palabras##########
abdominotoracicas                       abdominotorácico                        AQ0FP0   I  # abdomino-toracicas
abdomino-torácicas                      abdominotorácico                        AQ0FP0   I  # abdomino-torácicas
abdominotorácicas                       abdominotorácico                        AQ0FP0   I  # abdomino-torácicas
abdomino-toracico                       abdominotorácico                        AQ0MS0   I  # abdomino-toracico
abdominotoracico                        abdominotorácico                        AQ0MS0   I  # abdomino-toracico
abdomino-torácico                       abdominotorácico                        AQ0MS0   I  # abdomino-torácico
abdominotorácico                        abdominotorácico                        AQ0MS0   I  # abdomino-torácico
abdomino-toracicos                      abdominotorácico                        AQ0MP0   I  # abdomino-toracicos
abdominotoracicos                       abdominotorácico                        AQ0MP0   I  # abdomino-toracicos
abdomino-torácicos                      abdominotorácico                        AQ0MP0   I  # abdomino-torácicos
abdominotorácicos                       abdominotorácico                        AQ0MP0   I  # abdomino-torácicos
abduccion                               abducción                               NCFS000  I  # abduccion
abducción                               abducción                               NCFS000  I  # abducción
abducciones                             abducción                               NCFP000  I  # abducciones
aberrancia                              aberrancia                              NCFS000  I  # aberrancia
aberrancias                             aberrancia                              NCFP000  I  # aberrancias
ablacionada                             ablacionar                              VMP00SF  I  # ablacionada
ablacionadas                            ablacionar                              VMP00PF  I  # ablacionadas
ablacionado                             ablacionar                              VMP00SM  I  # ablacionado
ablacionados                            ablacionar                              VMP00PM  I  # ablacionados
ablativa                                ablativo                                AQ0FS0   I  # ablativa
ablativas                               ablativo                                AQ0FP0   I  # ablativas  
ablativo                                ablativo                                AQ0MS0   I  # ablativo
ablativos                               ablativo                                AQ0MP0   I  # ablativos
a-bloqueante                            a-bloqueante                            AQ0CS0   I  # a-bloqueante
a-bloqueantes                           a-bloqueante                            AQ0CP0   I  # a-bloqueantes
abscesificación                         abscesificación                         NCFS000  I  # abscesificación
abscesificaciones                       abscesificación                         NCFP000  I  # abscesificación
abscesificada                           abscesificar                            VMP00SF  I  # abscesificada
abscesificadas                          abscesificar                            VMP00PF  I  # abscesificadas
abscesificado                           abscesificar                            VMP00SM  I  # abscesificado
abscesificados                          abscesificar                            VMP00PF  I  # abscesificados
absortiva                               absortivo                               AQ0FS0   I  # absortiva
absortivas                              absortivo                               AQ0FP0   I  # absortivas
absortivo                               absortivo                               AQ0MS0   I  # absortivo
absortivos                              absortivo                               AQ0MP0   I  # absortivos
acalka                                  acalka                                  NCFS000  I  # acalka
acantolisis                             acantolisis                             NCFS000  I  # acantolisis
acantótica                              acantótico                              AQ0FS0   I  # acantótica
acantóticas                             acantótico                              AQ0FP0   I # acantóticas
acantótico                              acantótico                              AQ0MS0   I  # acantótico
acantóticos                             acantótico                              AQ0MP0   I  # acantóticos
aceclofenaco                            aceclofenaco                            NCMS000  I  # aceclofenaco
acenocumarina                           acenocumarina                           NCFS000  I  # acenocumarina
acenocumarol                            acenocumarol                            NCMS000  I  # acenocumarol
acetaminofén                            acetaminofén                            NCMS000  I  # acetaminofén
acetazolamida                           acetazolamida                           NCFS000  I  # acetazolamida
acetil                                  acetil                                  AQ0CS0   I  # acetil
acetil-salicilica                       acetilsalicílico                        AQ0FS0   I  # acetil-salicilica
acetilsalicilica                        acetilsalicílico                        AQ0FS0   I  # acetilsalicilica
acetil-salicílica                       acetilsalicílico                        AQ0FS0   I  # acetil-salicílica
acetilsalicílica                        acetilsalicílico                        AQ0FS0   I  # acetilsalicílica
acetil-salicilicas                      acetilsalicílico                        AQ0FP0   I  # acetil-salicilicas
